3	0xda9dfa130df4de4673b89022ee50ff26f6ea73cf	2,113,030.00243456 Ether	1.77554532%	65
4	0xbe0eb53f46cd790cd13851d5eff43d12404d33e8	1,996,008.28198513 Ether	1.67721384%	1089
5	0x73bceb1cd57c711feac4224d062b0f6ff338501e	1,900,504.52600949 Ether	1.59696357%	485
6	0x9bf4001d307dfd62b26a2f1307ee0c0307632d59	1,490,000.0180927 Ether	1.25202319%	103
10	0x742d35cc6634c0532925a3b844bc454e4438f44e	626,122.37478842 Ether	0.52612062%	15617
12	0x0548f59fee79f8832c299e01dca5c76f034f558e	455,752.36649126 Ether	0.38296143%	8851
13	0xe92d1a43df510f82c66382592a047d288f85226f	450,000.05008572 Ether	0.37812785%	80
14	0x1b3cb81e51011b549d78bf720b0d924ac763a7c2	409,299.996495 Ether	0.34392824%	189
16	0xc098b2a3aa256d2140208c3de6543aaef5cd3a94	359,262.8472169 Ether	0.30188283%	2703046
18	0xa7efae728d2936e78bda97dc267687568dd593f3	333,495.37346565 Ether	0.28023083%	1387666
19	0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f	332,330.38598229 Ether	0.27925191%	55
20	0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca	325,000.48001707 Ether	0.27309271%	71
24	0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2	284,053.12813465 Ether	0.23868530%	4206966
26	0xf977814e90da44bfa03b6295a0616a897441acec	261,757.88549553 Ether	0.21995097%	8208
27	0x176f3dab24a159341c0509bb36b833e7fdd0a132	259,646.55704085 Ether	0.21817685%	118
34	0x189b9cbd4aff470af2c0102f365fc1823d857965	229,212.31101876 Ether	0.19260344%	1266
37	0x28c6c06298d514db089934071355e5743bf21d60	214,682.05465484 Ether	0.18039390%	6580679
39	0x558553d54183a8542f7832742e7b4ba9c33aa1e6	200,001.664584 Ether	0.16805820%	50
42	0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b	197,750.48688752 Ether	0.16616657%	14497
43	0xcdbf58a9a9b54a2c43800c50c7192946de858321	193,799.07496 Ether	0.16284626%	70
45	0x66f820a414680b5bcda5eeca5dea238543f42054	188,508.65226678 Ether	0.15840081%	182
46	0x19184ab45c40c2920b0e0e31413b9434abd243ed	187,157.00580622 Ether	0.15726504%	291
50	0xcffad3200574698b78f32232aa9d63eabd290703	183,415.2035432 Ether	0.15412086%	1327
52	0x5f397b62502e255f68382791947d54c4b2d37f09	177,414.74099207 Ether	0.14907877%	521
55	0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6	172,038.06719675 Ether	0.14456084%	80
56	0xdc1487e092caba080c6badafaa75a58ce7a2ec34	170,371.28928531 Ether	0.14316027%	228
58	0x25eaff5b179f209cf186b1cdcbfa463a69df4c45	167,051.63720162 Ether	0.14037082%	201672
60	0x6262998ced04146fa42253a5c0af90ca02dfd2a3	152,640.43965636 Ether	0.12826132%	721690
101	0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6	135,283.676786 Ether	0.11367668%	280
102	0xd6216fc19db775df9774a6e33526131da7d19a2c	131,907.20193206 Ether	0.11083948%	6035
104	0x35aeed3aa9657abf8b847038bb591b51e1e4c69f	129,793.40309661 Ether	0.10906329%	62
105	0xb93d8596ac840816bd366dc0561e8140afd0d1cb	128,576.12063659 Ether	0.10804043%	56
109	0x595faf77e533a5cd30ab5859c9a0116de8bad8db	120,000 Ether	0.10083406%	50
110	0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce	120,000 Ether	0.10083406%	53
111	0xd5268a476aadd1a6729df5b3e5e8f2c1004139af	120,000 Ether	0.10083406%	55
112	0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1	120,000 Ether	0.10083406%	52
113	0xf481b7fab9f5d0e74f21ae595a749634fb053619	119,858.42783694 Ether	0.10071510%	59
114	0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9	119,418.37357608 Ether	0.10034532%	51
115	0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b	119,060.19653535 Ether	0.10004435%	51
117	0xa1a45e91164cdab8fa596809a9b24f8d4fdbe0f3	116,255.61542554 Ether	0.09768771%	134
127	0x7d812b62dc15e6f4073eba8a2ba8db19c4e40704	103,241.18954816 Ether	0.08675190%	1554
