Txhash,"Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3106.02/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
0x8cf89addab4185cc38440a727f8e4919d1b52f022857f925479d26f15b66957a,"5762374","1528599557","2018-06-10 02:59:17","0xdf9191889649c442836ef55de5036a7b694115b6","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","","2","0","6212.04","0.002079","6.45741558","524.74","","","Transfer",""
0xffbb75cf6ede4d875d943ff7a89f303a65d32602145ee078c92d9fcb2cb4bd77,"5762394","1528599839","2018-06-10 03:03:59","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3","","0","0","0","0.004665","14.4895833","524.74","","","Approve",""
0x4e98c671deaeb5ce2b2f36a5000392a45652e7d98cdaa688dd4cd6bbce333fad,"5762396","1528599894","2018-06-10 03:04:54","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208","","0","0","0","0.0073693","22.889193186","524.74","","","Deposit Token",""
0xbe78189035d330b6fb3db967e8e701c97cb248abf505b4273e1943bc10a1b22a,"5762471","1528601111","2018-06-10 03:25:11","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0xdf9191889649c442836ef55de5036a7b694115b6","","0","142.412132673482543911","442334.93232649","0.002079","6.45741558","524.74","","","Transfer",""
0xfd5af55a43d2c3290d2aa232a033e47b10660e1e781d2d3552e97b10e95bd6ff,"5762509","1528601707","2018-06-10 03:35:07","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3","","0","0","0","0.0023995","7.45289499","524.74","Error(0)","Reverted","Approve",""
0x3a3f6c867b842f703937fca474ff79ed82f2fea365e1f789dcfdc58f6a516133,"5762706","1528604670","2018-06-10 04:24:30","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0xae995c1a9983dc8ac4ce7f3e558f9c6997e0c1a7","","0","2","6212.04","0.002079","6.45741558","524.74","","","Transfer",""
0xffb620e0d824d8e4963faf4d9946cd8130fa3fe8e5a519402904704f948c8e0a,"5762709","1528604716","2018-06-10 04:25:16","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3","","0","0","0","0.002412828","7.49429202456","524.74","Error(0)","Reverted","Transfer",""
0x2d6a3eb3a3c6b9f11fa2acda842751c1aa08fc88585670459ea7a69d5a996b6f,"5762721","1528604824","2018-06-10 04:27:04","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3","","0","0","0","0.002412828","7.49429202456","524.74","Error(0)","Reverted","Transfer",""
0x7bf7972f8f2a88eba315694d3150782f5ec16081f1376e178637fc9b7c82be18,"5762846","1528606687","2018-06-10 04:58:07","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0xdf9191889649c442836ef55de5036a7b694115b6","","0","49","152194.98","0.002079","6.45741558","524.74","","","Transfer",""
0x5d7fb2c6de470b529f4bacfb8e2af2c91878c00b885a52dc2ba61cf4a6866b0d,"5849886","1529900481","2018-06-25 04:21:21","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3","","0","0","0","0.002174517","6.75409329234","458.82","","","Transfer",""
0x4e7e7601c812c0dcc6499e20ca45f82c17316ea292d2c83f7972d4541343bcd2,"5849886","1529900481","2018-06-25 04:21:21","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3","","0","0","0","0.003765663","11.69622459126","458.82","","","Transfer",""
0x51dae5f96c04f9349230171e049dabc51e1b70397177816ff3868ca3cc8a12ce,"5849886","1529900481","2018-06-25 04:21:21","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3","","0","0","0","0.001559517","4.84389099234","458.82","","","Transfer",""
0x31f5871c56a19a4c651381357ad0a1c0344331ea0ac5f169836a961e8c1efed7,"5849886","1529900481","2018-06-25 04:21:21","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0x4901494636635c3c1233b7f09ae9591d15cfbb1f","","0","0.1","310.602","0.002079","6.45741558","458.82","","","Transfer",""
0x50d51ed17cf9cf4a86e585d6991ac4eb88b310db457c24171a6ce685d2af7091,"5853790","1529959865","2018-06-25 20:51:05","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3","","0","0","0","0.002174517","6.75409329234","458.82","","","Transfer",""
0x30493320bd96898afe8dba19314f407cd59f52d47e477f5b71c76edb5e71b9e0,"5877259","1530311440","2018-06-29 22:30:40","0xdf9191889649c442836ef55de5036a7b694115b6","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","","5595","0","17378181.9","0.001281","3.97881162","435.25","","","Transfer",""
0x940af014380c4792b10b7884d37c387fe178c5f1c4e694b70de1bde7c13bf46a,"5911793","1530821826","2018-07-05 20:17:06","0xdf9191889649c442836ef55de5036a7b694115b6","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","","1150","0","3571923","0.001596","4.95720792","467.55","","","Transfer",""
0x41eeeaabfc5b0b553a1a90b7ccab74a0ba15a861fec0afc63b25ac8d29937e70,"6318498","1536761312","2018-09-12 14:08:32","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3","","0","0","0","0.00517881","16.0854874362","183.03","","","Transfer",""
0x866857a2d6aa106fb49874b33f4f14f2392e6884de0d9c790da162df405b5ab2,"6318504","1536761418","2018-09-12 14:10:18","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3","","0","0","0","0.003733898","11.59756186596","183.03","","","Transfer",""
0xeaae5f6fa6328fcb932fabddb94fdc518f62492e67a2b352eac8da799f30028a,"6318509","1536761476","2018-09-12 14:11:16","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0x2664c334c46635f7845487d3bab16992fc83a93e","","0","1500","4659030","0.002058","6.39218916","183.03","","","Transfer",""
