"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2754.49/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x3cff6e5399c48dbaf85ebcffa54d53876ed9b21672d2583fa652164378287885","5562119","1525548135","2018-05-05 19:22:15","0xf5613e4da78cee6a1bffdf9c235d56bbf6d01d8d","0x04a3d37cae5fe8acfcaf6d5eb66369d639ff027e","","0.56791398","0","1564.3133787702","0.000588","1.61964012","816.58","","","Transfer",""
"0xe72472b40f9ce04659bb74dc66a302521aa8d72fc1feb88d66571a39b4246e3c","5562552","1525554612","2018-05-05 21:10:12","0x8164d1a475d2b1512bb6179cb6ac9e3b7c5ebcba","0x04a3d37cae5fe8acfcaf6d5eb66369d639ff027e","","0.5","0","1377.245","0.000861","2.37161589","816.58","","","Transfer",""
"0x24301ed9bff01bb776a1c58ab8b466b6c577720fa15919e08dba9d5eb5c0b479","5563380","1525566821","2018-05-06 00:33:41","0x9eb062ee6d6ab6c68c6892a493a94aff48ccea53","0x04a3d37cae5fe8acfcaf6d5eb66369d639ff027e","","0.5","0","1377.245","0.000084","0.23137716","790.39","","","Transfer",""
"0x5c768855ed8854274abfa9c3c3ddec4f22937df8170adcb8cbf0966926025a11","5572548","1525704165","2018-05-07 14:42:45","0x390de26d772d2e2005c6d1d24afc902bae37a4bb","0x04a3d37cae5fe8acfcaf6d5eb66369d639ff027e","","1","0","2754.49","0.002373","6.53640477","752.40","","","Transfer",""
