address,nodes,edges,n_edges_incoming,n_edges_outcoming,percentage_incoming,percentage_outcoming,total_weight_in,total_weight_out
0x8ae880b5d35305da48b63ce3e52b22d17859f293,3,3,2,1,66.66666666666666,33.33333333333334,577762104.448144,288881045.099153
0x5a710a3cdf2af218740384c52a10852d8870626a,3,26,26,0,100.0,0.0,287632250.360334,0
0x47029dc4f3922706bf670d335c45550cff4f6a35,15,18,8,10,44.44444444444444,55.55555555555556,359368443.3668701,84567899.60999998
0xdb89045c811549f7eb925ec16f7d0cd7166556b3,5,4,3,1,75.0,25.0,1327429432.5745368,0.0
0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc,7,10,3,7,30.0,70.0,273838300.70294607,273830233.42305
0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,10,62,38,24,61.29032258064516,38.70967741935484,752063040.6937852,479438505.0
0x76ae5632ae65d95dd704218920f7d8ac4daef9cc,17,29,18,11,62.06896551724138,37.93103448275862,157922117.13533273,141797267.184368
0x5657e633be5912c6bab132315609b51aadd01f95,6,7,5,2,71.42857142857143,28.57142857142857,271958235.18778366,538.254
0x67f706db3bbd04a250eed049386c5d09c4ee31f0,7,34,2,32,5.88235294117647,94.11764705882354,835439313.4226401,62171028.27
0x9e927c02c9eadae63f5efb0dd818943c7262fb8e,30,94,53,41,56.38297872340425,43.61702127659575,301017718.8299193,29781400.808980778
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,22,23,23,0,100.0,0.0,270121311.27344275,0
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,9,110,110,0,100.0,0.0,7492634808.331724,0
0x40f50e8352d64af0ddda6ad6c94b5774884687c3,4,3,3,0,100.0,0.0,269447000.0538894,0
0x2d89034424db22c9c555f14692a181b22b17e42c,4,3,3,0,100.0,0.0,269452000.0269452,0
0x469f1ea76d13d4b4ea20a233eac8ce6ac74d5087,2,3,2,1,66.66666666666666,33.33333333333334,269234692.32,2690.68037712
0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd,28,171,74,97,43.27485380116959,56.72514619883041,634527837.5935972,366762662.39088
0x5f397b62502e255f68382791947d54c4b2d37f09,10,504,205,299,40.67460317460318,59.32539682539682,1286472367.637597,1031367147.7084203
0x999e77c988c4c1451d3b1c104a6cca7813a9946e,17,55,19,36,34.54545454545455,65.45454545454545,328961715.3128126,68677978.5412
0xef381e3e29f7441bce624b9c69e3d678f1c51359,5,18,15,3,83.33333333333334,16.666666666666657,292337355.2693622,27239170.8
0x2fd56159f4c8664a1de5c75e430338cfa58cd5b9,17,52,9,43,17.307692307692307,82.6923076923077,348339347.28674465,91993496.32
0xd7ebce38bcba00df9236728723ee70a9d4862a40,6,7,5,2,71.42857142857143,28.57142857142857,256650490.7372656,0
0x629e7da20197a5429d30da36e77d06cdf796b71a,41,121,115,6,95.0413223140496,4.958677685950406,109.8349540299772,539.666
0x86a6a0080b1a4c9390416cf73ffb02738d94f8d6,4,4,3,1,75.0,25.0,501774219.585387,250887096.597349
0x0dbd8de20eed94a5693d57998827fcf68ed2ecf4,4,3,3,0,100.0,0.0,249452458.50145027,0
0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042,47,71,71,0,100.0,0.0,2766635868.000589,0
0x368d43c23843ca9b49dc861d80251bda6a090367,51,78,78,0,100.0,0.0,2116869499.7908149,0
0x79f67f689b9925710d4dda2a39d680e9cea61c81,44,68,68,0,100.0,0.0,1465658268.062587,0
0x84bf16e7675cee22d0e0302913ccf58b45333ddf,42,119,119,0,100.0,0.0,2210521786.604801,0
0x282edab8a933bc1c02649fe3ea2842ecbe9928a7,15,53,44,9,83.01886792452831,16.98113207547169,424889701.6924739,183529291.42817998
0xf443864ba5d5361bbc54298551067194f980a635,53,122,122,0,100.0,0.0,4428669609.721407,0
